,Flight,Aicraft
1315,G8-513,A320
1316,G8-517,A320
1317,6E-2763,A321
1318,AI-616,A320
1319,AI-420,A319
1320,6E-695,A320
1321,6E-7307,ATR
1322,6E-938,A321
1323,6E-621,A321
1324,6E-6915,A320
1325,6E-2069,A321
1326,6E-5176,A321
1327,6E-595,A321
1328,G8-551,A320
1329,AI-546,A319
1330,AI-620,A319
1331,6E-866,A320
1332,6E-6294,A320
1333,6E-2511,A320
1334,G8-813,A320
1335,SG-3728,DH8B
1336,6E-5369,A321
1337,6E-5211,A320
1338,6E-5218,A321
1339,6E-6433,A320
1340,6E-905,A320
1341,6E-793,A321
1342,6E-5207,A321
1343,6E-992,A320
1344,6E-743,A320
1345,G8-504,A320
1346,6E-132,A320
1347,6E-903,A320
1348,6E-5358,A320
1349,6E-199,A320
1350,G8-501,A320
1351,6E-6106,A320
1352,6E-6268,A320
1353,6E-453,A320
1354,6E-584,A320
1355,6E-884,A321
1356,G8-121,A320
1357,G8-503,A320
1358,G8-505,A320
1359,G8-806,A320
1360,6E-6319,A321
1361,6E-371,A320
1362,6E-285,A321
1363,6E-7224,ATR
1364,6E-6066,A321
1365,6E-413,A321
1366,6E-531,A320
1367,6E-514,A321
1368,6E-6151,A320
1369,6E-827,A321
1370,6E-6505,A320
1371,6E-157,A320
1372,6E-7298,ATR
1373,AI-9937,
1374,6E-949,A320
1375,6E-102,A320
1376,6E-668,A321
1377,6E-7201,ATR
1378,6E-7211,ATR
1379,6E-6007,A320
1380,6E-6216,A321
1381,6E-121,A321
1382,6E-887,A320
1383,6E-151,A320
1384,6E-6417,A320
1385,G8-962,A320
1386,6E-809,A320
1387,6E-283,A320
1388,6E-944,A321
1389,SG-3831,DH8B
1390,6E-6593,A320
1391,6E-384,A320
1392,6E-6358,A321
1393,6E-922,A320
1394,6E-425,A320
1395,6E-6366,A321
1396,6E-149,A320
1397,6E-6893,A320
1398,SG-731,737
1399,6E-266,A320
1400,6E-995,A321
1401,SG-5094,
1402,6E-6211,A320
1403,6E-879,A321
1404,6E-6242,A321
1405,6E-165,A320
1406,6E-6719,A320
1407,6E-6148,A320
1408,6E-882,A321
1409,6E-208,A321
1410,SG-3239,DH8B
1411,6E-438,A320
1412,6E-626,A320
1413,6E-6591,A321
1414,6E-7062,ATR
1415,6E-752,A320
1416,6E-7118,ATR
1417,SG-6018,
1418,6E-6174,A320
1419,6E-6781,A321
1420,6E-7221,AT43
1421,6E-7293,ATR
1422,6E-2752,A321
1423,6E-613,A320
1424,AI-539,A321
1425,SG-612,B38M
1426,SG-4010,DH8B
1427,6E-847,A320
1428,6E-605,A320
1429,6E-6137,A320
1430,UK-838,A320
1431,AI-538,A20N
1432,6E-5002,A320
1433,6E-2065,A321
1434,AI-766,A321
1435,UK-836,A320
1436,6E-591,A320
1437,UK-832,A320
1438,6E-5038,A321
1439,6E-2062,A321
1440,SG-520,737
1441,6E-6219,A320
1442,SG-678,737
1443,6E-6006,A320
1444,AI-430,A20N
1445,AI-549,A321
1446,AI-9894,
1447,AI-440,A321
1448,AI-672,A20N
1449,6E-495,A321
1450,SG-8108,B38M
1451,I5-5205,A320
1452,SG-329,737
1453,SG-8104,737
1454,6E-515,A320
1455,AI-569,A20N
1456,UK-834,A320
1457,UK-822,A320
1458,UK-824,A320
1459,SG-1057,DH8B
1460,6E-796,A320
1461,UK-826,B738
1462,UK-828,B738
1463,6E-6567,A321
1464,6E-193,A320
1465,6E-6113,A320
1466,6E-6217,A320
1467,6E-489,A320
1468,I5-821,A320
1469,G8-302,A320
1470,G8-304,A320
1471,I5-1531,A320
1472,I5-557,A320
1473,SG-1054,DH8B
1474,I5-1727,A320
1475,G8-451,A320
1476,6E-6215,A321
1477,6E-562,A320
1478,6E-319,A320
1479,6E-917,A321
1480,6E-156,A320
1481,I5-2462,A20N
1482,I5-361,A20N
1483,6E-998,A320
1484,6E-6309,A320
1485,6E-581,A320
1486,AI-545,A319
1487,6E-6815,A320
1488,G8-911,A320
1489,6E-7195,ATR
1490,SG-395,737
1491,G8-917,
1492,6E-2007,A320
1493,AI-551,A321
1494,AI-563,A321
1495,6E-588,A320
1496,6E-126,A320
1497,6E-5367,A320
1498,6E-5347,A321
1499,6E-7288,ATR
1500,6E-5394,A320
1501,6E-188,A320
1502,6E-6111,A321
1503,6E-929,A320
1504,6E-782,A320
1505,SG-6006,
1506,SG-6005,
1507,6E-5331,A320
1508,6E-927,A320
1509,G8-9110,
1510,6E-5325,A320
1511,6E-7084,ATR
1512,6E-7193,ATR
1513,6E-6095,A321
1514,6E-274,A320
1515,6E-727,A320
1516,6E-7329,ATR
1517,AI-509,A321
1518,6E-365,A320
1519,6E-7587,A320
1520,SG-1032,DH8B
1521,6E-881,A320
1522,6E-987,A320
1523,6E-477,A320
1524,6E-327,A321
1525,6E-6381,A320
1526,6E-7149,ATR
1527,6E-7589,ATR
1528,6E-6016,A320
1529,6E-606,A320
1530,6E-183,A320
1531,SG-388,737
1532,6E-539,A320
1533,6E-2685,A320
1534,6E-502,A321
1535,6E-848,A320
1536,6E-6213,A320
1537,6E-244,A320
1538,SG-5068,
1539,6E-401,A320
1540,SG-6016,
1541,6E-561,A320
1542,6E-6183,A320
1543,6E-6897,A321
1544,6E-298,A320
1545,6E-973,A320
1546,6E-105,A320
1547,6E-611,A320
1548,6E-7261,ATR
1549,6E-7216,ATR
1550,6E-7185,ATR
1551,6E-804,A320
1552,6E-7183,ATR
1553,SG-6017,
1554,6E-7208,ATR
1555,6E-7252,ATR
1556,6E-7141,ATR
1557,6E-557,A320
1558,6E-7127,ATR
1559,6E-7259,ATR
1560,AI-433,A20N
