,Flight,Aicraft
307,6E-7407,ATR
308,I5-787,A20N
309,SG-5007,
310,SG-6001,
311,SG-534,737
312,6E-2036,A320
313,I5-550,A320
314,SG-5012,
315,SG-8941,B38M
316,6E-772,A321
317,6E-967,A320
318,6E-2753,A321
319,UK-721,A320
320,I5-791,A320
321,SG-8910,B38M
322,I5-713,A320
323,G8-275,A320
324,G8-422,A320
325,I5-559,A320
326,G8-7549,
327,G8-231,A320
328,6E-2343,A321
329,G8-7555,
330,G8-145,A320
331,6E-2478,A320
332,6E-2348,A320
333,6E-2082,A321
334,6E-6233,A321
335,6E-2249,A320
336,G8-7542,
337,SG-480,737
338,6E-552,A320
339,6E-951,A320
340,6E-286,A320
341,6E-6264,A320
342,6E-177,A320
343,6E-767,A320
344,6E-5014,A321
345,G8-1171,A320
346,SG-8191,737
347,6E-2048,A320
348,6E-6612,A320
349,6E-308,A320
350,6E-781,A320
351,SG-8905,737
352,6E-6565,A320
353,6E-2015,A321
354,SG-197,737
355,6E-963,A321
356,SG-389,737
357,AI-889,A321
358,SG-946,737
359,SG-8480,737
360,G8-2201,A320
361,6E-353,A321
362,6E-483,A320
363,6E-2106,A320
364,SG-8253,737
365,6E-912,A320
366,6E-2057,A320
367,6E-6238,A320
368,6E-2485,A320
369,6E-6271,A320
370,6E-2513,A320
371,6E-755,A321
372,6E-2615,A320
373,6E-397,A320
374,SG-8903,737
375,SG-8187,737
376,UK-641,A320
377,6E-6195,A320
378,G8-153,A320
379,AI-891,A320
380,6E-2178,A320
381,6E-2032,A320
382,6E-2181,A320
383,6E-6971,A320
384,6E-5031,A321
385,AI-879,A321
386,6E-5073,A320
387,SG-8152,737
388,6E-2089,A321
389,6E-2329,A321
390,SG-8106,737
391,6E-2148,A320
392,SG-8263,737
393,6E-2367,A321
394,6E-2001,A320
395,6E-398,A320
396,6E-889,A320
397,6E-761,A320
398,6E-5012,A321
399,6E-6187,A320
400,6E-2043,A320
401,6E-5336,A320
402,6E-2031,A320
403,6E-2841,A320
404,6E-387,A320
405,AI-9991,AT43
406,6E-6171,A320
407,AI-895,A320
408,6E-5003,A320
409,6E-358,A320
410,6E-6613,A320
411,AI-489,A320
412,6E-2109,A320
413,6E-2517,A320
414,6E-6636,A321
415,6E-128,A321
416,SG-1072,DH8B
417,6E-148,A320
418,G8-423,A320
419,I5-829,A320
420,SG-1074,DH8B
421,6E-251,A320
422,I5-737,A320
423,6E-5037,A320
424,6E-6096,A321
425,6E-6186,A320
426,6E-2087,A320
427,6E-6198,A320
428,6E-5016,A321
429,6E-307,A321
430,6E-947,A320
431,6E-2016,A321
432,SG-263,737
433,SG-292,737
434,6E-546,A320
435,6E-972,A320
436,6E-6197,A320
437,6E-5071,A321
438,G8-151,A320
439,6E-6282,A320
440,SG-8195,
441,6E-2843,A320
442,6E-2479,A320
443,SG-958,737
444,AI-493,A320
445,SG-6027,
446,6E-2938,A320
447,6E-2939,A320
448,6E-2346,A321
449,6E-2076,A321
450,6E-2618,A321
451,6E-2107,A320
452,6E-943,A321
453,6E-6023,A320
454,6E-6189,A320
455,6E-635,A320
456,SG-8968,737
457,SG-8107,737
458,6E-289,A320
459,6E-2162,A321
460,6E-2169,A320
461,6E-2061,A320
462,SG-1071,DH8B
463,SG-1056,DH8B
464,6E-954,A320
465,6E-6739,A320
466,SG-8193,B38M
467,SG-8913,737
468,SG-8103,B38M
469,SG-107,
470,6E-2719,A320
471,UK-994,A320
472,UK-910,B738
473,G8-339,A320
474,6E-6004,A320
475,6E-2077,A321
476,AI-888,A20N
477,AI-867,B77W
478,AI-660,A20N
479,G8-351,A320
480,AI-442,A20N
481,UK-958,
482,UK-960,A320
483,SG-8710,737
484,SG-8158,B38M
485,I5-942,A320
486,6E-416,A320
487,UK-940,A320
488,UK-944,A320
489,6E-939,A320
490,6E-168,A321
491,AI-631,A321
492,I5-631,A320
493,UK-996,A320
494,6E-5382,A320
495,6E-6201,A320
496,6E-176,A320
497,6E-6222,A320
498,AI-639,A20N
499,AI-649,A20N
500,UK-988,A320
501,UK-651,A320
502,UK-863,A320
503,AI-675,A320
504,6E-6234,A321
505,G8-287,A320
506,UK-851,A320
507,AI-651,A321
508,SG-4417,737
509,UK-613,A320
510,UK-875,A320
511,UK-852,A320
512,6E-574,A320
513,AI-611,A321
514,UK-853,A320
515,G8-349,A320
516,SG-349,B38M
517,UK-773,B738
518,6E-5384,A320
519,6E-5392,A320
520,UK-771,B738
521,UK-825,B738
522,AI-673,A320
523,AI-9657,
524,AI-681,A320
525,UK-775,B738
526,G8-329,A320
527,G8-327,A320
528,G8-319,A320
529,G8-322,A320
530,6E-6721,A320
531,AI-806,A20N
532,AI-809,A321
533,6E-5372,A321
534,G8-365,A320
535,G8-387,A320
536,G8-520,A320
537,G8-511,A320
538,AI-635,A20N
539,6E-2047,A321
540,SG-2697,DH8B
541,UK-970,A320
542,SG-8702,737
543,UK-928,A320
544,G8-364,A320
545,SG-276,B38M
546,AI-774,A319
547,AI-619,A319
548,AI-643,A20N
549,UK-823,A320
550,AI-667,A320
551,UK-621,A320
552,UK-865,A320
553,AI-685,A321
554,UK-841,A320
555,AI-683,A20N
556,G8-382,A320
557,AI-625,A320
558,G8-575,A320
559,G8-331,A320
560,6E-2172,A321
561,6E-5017,A320
562,AI-687,B788
563,G8-391,A320
564,UK-877,B738
565,6E-213,A320
566,AI-627,A319
567,UK-655,A320
568,AI-637,A20N
569,AI-655,A319
570,AI-607,A321
571,G8-383,A320
572,AI-645,A20N
573,AI-663,A320
574,AI-570,A20N
575,G8-381,A320
576,AI-671,A20N
577,G8-2440,
578,SG-1092,
579,SG-1090,
580,SG-1062,
581,I5-620,A320
582,G8-2502,A320
583,SG-343,B38M
584,AI-688,A321
585,AI-629,A319
586,AI-669,A20N
587,AI-9919,
588,AI-679,A319
589,SG-1059,DH8B
590,UK-954,A320
591,UK-930,A321
592,UK-986,A321
593,UK-950,A320
594,UK-902,A320
595,G8-461,A320
596,UK-653,A320
597,UK-873,B738
598,UK-849,A320
599,UK-845,A320
600,UK-857,A320
601,G8-317,A320
602,UK-821,A320
603,UK-827,B738
604,6E-2518,A321
605,6E-5386,A320
606,6E-296,A320
607,AI-864,A20N
608,6E-6182,A320
609,I5-330,A320
610,I5-1569,A320
611,6E-248,A321
612,6E-5395,A320
613,UK-861,A320
614,I5-471,A320
615,G8-7536,
616,G8-7537,
617,G8-7538,
618,G8-341,A320
619,G8-345,A320
620,G8-321,A320
621,G8-2508,A320
622,6E-5013,A321
623,I5-678,A320
624,I5-336,A320
625,G8-244,A320
626,G8-2417,A320
627,G8-7546,
628,G8-306,A320
629,G8-7545,
630,G8-371,A320
631,G8-2411,A320
632,G8-363,A320
633,6E-5376,A321
634,G8-325,A320
635,G8-2606,A320
636,6E-5006,A321
637,6E-154,A320
638,6E-945,A320
639,AI-615,A320
640,AI-695,A319
641,AI-657,A321
642,AI-633,A319
643,I5-941,A320
644,AI-652,A321
645,6E-5361,A320
646,SG-8179,
647,6E-5308,A320
648,6E-5047,A320
649,I5-338,A320
650,6E-6515,A321
651,6E-6993,A320
652,6E-5313,A320
653,6E-6084,A320
654,6E-164,A320
655,6E-5381,A320
656,6E-5332,A320
657,6E-138,A320
658,6E-2103,A320
